,Product Id,Company Name,Price,Views,Rating,Review Votes
0,clear clean esn sprint epic g galaxy sphdfront cameraandroidsliderqwerty keyboardtouch screen,samsung,199,feel lucky found phone hard phone line upgraded sold son liked old finally fell apart years didnt want upgrade thank seller appreciate honesty said phonei recommend seller highly,5,1
1,clear clean esn sprint epic g galaxy sphdfront cameraandroidsliderqwerty keyboardtouch screen,samsung,199,nice phone nice grade pantach revue clean set easy set android phone fantastic perfect size surfing social media great phone samsung,4,0
2,clear clean esn sprint epic g galaxy sphdfront cameraandroidsliderqwerty keyboardtouch screen,samsung,199,pleased,5,0
3,clear clean esn sprint epic g galaxy sphdfront cameraandroidsliderqwerty keyboardtouch screen,samsung,199,works good goes slow good phone love,4,0
4,clear clean esn sprint epic g galaxy sphdfront cameraandroidsliderqwerty keyboardtouch screen,samsung,199,great phone replace lost phone thing volume button work settings adjust job eligible upgrade phone againthaanks,4,0
5,clear clean esn sprint epic g galaxy sphdfront cameraandroidsliderqwerty keyboardtouch screen,samsung,199,phone problems know stated dang state charge wish read comments purchased item cracked damaged goods trying charge way work requesting money money backsigned unhappy customer,1,1
6,clear clean esn sprint epic g galaxy sphdfront cameraandroidsliderqwerty keyboardtouch screen,samsung,199,charging port loose got soldered needed new battery later including cost purchase usable phone phone sold state,2,0
7,clear clean esn sprint epic g galaxy sphdfront cameraandroidsliderqwerty keyboardtouch screen,samsung,199,phone looks good wouldnt stay charged buy new battery couldnt stay charged longso trashed itmoney lost buy person,2,0
8,clear clean esn sprint epic g galaxy sphdfront cameraandroidsliderqwerty keyboardtouch screen,samsung,199,originally samsung galaxy sprint wanted return samsung epic g sprint missed keyboard liked smaller compact size phone needed basic functions smart phone ie checking email getting directions text messaging phone powerful newer cell phones aware applications install slower phone runs likely freeze time time camera works great video great web browsing decent gives need notice battery life lasts little bit longer charging phone quicker galaxy,5,0
9,clear clean esn sprint epic g galaxy sphdfront cameraandroidsliderqwerty keyboardtouch screen,samsung,199,battery life great responsive touch issue screen goes black press button times screen reilluminate,3,0
10,clear clean esn sprint epic g galaxy sphdfront cameraandroidsliderqwerty keyboardtouch screen,samsung,199,fiance phone previously caused problems course decided browse amazon replacement til contract far good,3,0
11,clear clean esn sprint epic g galaxy sphdfront cameraandroidsliderqwerty keyboardtouch screen,samsung,199,great product came days ordering little blemish sidebut cares long phone fullly functionali recommend product reading,5,0
12,clear clean esn sprint epic g galaxy sphdfront cameraandroidsliderqwerty keyboardtouch screen,samsung,199,guys best little situation item quickly fixed issue pleased definitely buying phon need,5,2
13,clear clean esn sprint epic g galaxy sphdfront cameraandroidsliderqwerty keyboardtouch screen,samsung,199,im disappointed phone service phone went week ago instead handling issue surfaced ive told im stick phone im dollars service im havent received mailing label return item purchase amazon im rushing use smartphones business anytime soon thought getting deal like im lucked,1,1
14,clear clean esn sprint epic g galaxy sphdfront cameraandroidsliderqwerty keyboardtouch screen,samsung,199,ordered phone replacement model contract expires new seller confirmation said delivery days seller sent phone hours receiving order phone day phone looks better described able transfer data old new problems highly recommend seller,5,1
15,clear clean esn sprint epic g galaxy sphdfront cameraandroidsliderqwerty keyboardtouch screen,samsung,199,phone loved working got phone thing sd card slot open try access file managment computer card fine able open phone trying trouble shoot,2,0
16,clear clean esn sprint epic g galaxy sphdfront cameraandroidsliderqwerty keyboardtouch screen,samsung,199,able phone previously ownedwith keyboard touch screen best phone love clean device service provider worth,5,6
17,clear clean esn sprint epic g galaxy sphdfront cameraandroidsliderqwerty keyboardtouch screen,samsung,199,brought phone replacement daughter hard cell phones great purchase phone work wonderful thank,5,0
18,clear clean esn sprint epic g galaxy sphdfront cameraandroidsliderqwerty keyboardtouch screen,samsung,199,love phone need works great purchased phones seller shipped amazons warehouse problem phone didnt come micro sd card couldnt use camera got card problems getting activated sprint,4,1
19,clear clean esn sprint epic g galaxy sphdfront cameraandroidsliderqwerty keyboardtouch screen,samsung,199,unfortunately sprint activate phone blocking issue phone matter handled quickly satisfied service,3,0
20,clear clean esn sprint epic g galaxy sphdfront cameraandroidsliderqwerty keyboardtouch screen,samsung,199,battery old barely holds charge issues phone,4,0
21,clear clean esn sprint epic g galaxy sphdfront cameraandroidsliderqwerty keyboardtouch screen,samsung,199,prosbeautiful screencapable running chrometake good picturesthe keyboard comfyfits pocket fit handsplays good videos gamesconsno bluetoothcame laterun fast quickdoesnt play p videosbut recommend like talk text lot like watch lot movies,4,0
